date,population,TMAX,TMIN,TAVG,TDTR,PRCP(-1),PRCP(-2),PRCP,year,month,air_temperature,dew_point_temperature,relative_humidity,specific_humidity,total_cases
2000-07,386666,31.458333333333332,20.325,25.916666666666668,11.133333333333333,85.8,309.3,97.29999999999998,2000,07,296.38324,293.75934,87.40678,15.334194,0
2000-08,386666,32.86470588235294,21.17058823529412,27.017647058823535,11.694117647058825,97.29999999999998,85.8,225.2,2000,08,298.41354,293.17548,76.23516,14.762258,0
2000-09,386666,33.300000000000004,20.925,27.108333333333334,12.375,225.2,97.29999999999998,247.1,2000,09,299.03635,293.185,73.20033,14.805333,1
2000-10,386666,33.16363636363636,21.709090909090907,27.436363636363637,11.454545454545455,247.1,225.2,81.19999999999999,2000,10,299.02484,294.7029,79.25032,16.219677,2
2000-11,386666,33.400000000000006,21.55,27.475,11.850000000000001,81.19999999999999,247.1,25.4,2000,11,300.68765,294.24866,71.011665,15.850667,0
2000-12,386666,32.018181818181816,21.436363636363637,26.718181818181815,10.581818181818184,25.4,81.19999999999999,160.3,2000,12,299.26807,293.38452,73.79549,15.092258,1
2001-01,393355,31.615789473684206,21.44736842105263,26.536842105263162,10.168421052631578,160.3,25.4,286.30000000000007,2001,01,296.77258,294.6003,89.367744,16.09871,0
2001-02,393355,31.493333333333332,21.886666666666667,26.68,9.606666666666666,286.30000000000007,160.3,131.29999999999998,2001,02,296.20322,294.71393,92.13,16.240715,0
2001-03,393355,32.18181818181818,21.55454545454546,26.87272727272727,10.627272727272727,131.29999999999998,286.30000000000007,186.9,2001,03,297.25034,295.78387,92.76032,17.35129,0
2001-04,393355,32.46923076923077,21.43076923076923,26.961538461538467,11.038461538461538,186.9,131.29999999999998,170.9,2001,04,297.30865,295.81967,92.666664,17.369667,1
2001-05,393355,32.37777777777777,21.677777777777777,27.022222222222222,10.700000000000001,170.9,186.9,108.19999999999999,2001,05,297.1071,295.98322,94.44871,17.542904,2
2001-06,393355,31.846153846153847,21.246153846153845,26.553846153846152,10.600000000000001,108.19999999999999,170.9,63.300000000000004,2001,06,295.53134,292.926,87.17133,14.513333,1
2001-07,393355,31.977777777777778,21.299999999999997,26.633333333333333,10.677777777777777,63.300000000000004,108.19999999999999,75.6,2001,07,296.84903,293.9155,85.89774,15.426774,0
2001-08,393355,32.849999999999994,21.0,26.933333333333334,11.850000000000001,75.6,63.300000000000004,69.1,2001,08,298.5055,293.2042,74.94452,14.80871,0
2001-09,393355,33.418181818181814,21.01818181818182,27.218181818181815,12.399999999999999,69.1,75.6,117.0,2001,09,298.71033,294.463,80.12767,16.011333,0
2001-10,393355,33.50666666666667,22.1,27.799999999999997,11.406666666666666,117.0,69.1,290.1,2001,10,299.17032,294.96484,80.42033,16.586452,0
2001-11,393355,33.51111111111111,22.48888888888889,27.999999999999996,11.022222222222222,290.1,117.0,51.0,2001,11,298.695,296.16666,88.14333,17.796999,2
2001-12,393355,32.64666666666667,22.366666666666667,27.506666666666664,10.28,51.0,290.1,114.1,2001,12,298.35355,297.21,94.437096,18.960968,8
2002-01,399770,33.459999999999994,21.92,27.689999999999998,11.540000000000001,114.1,51.0,69.3,2002,01,298.6245,295.19388,83.74516,16.749355,66
2002-02,399770,32.88333333333333,22.09166666666667,27.49166666666667,10.791666666666666,69.3,114.1,92.29999999999998,2002,02,297.5,296.2075,93.62572,17.791428,47
2002-03,399770,32.300000000000004,21.114285714285717,26.714285714285715,11.185714285714285,92.29999999999998,69.3,109.80000000000001,2002,03,297.52194,296.52225,95.04226,18.129354,32
2002-04,399770,32.2,21.825000000000003,27.025000000000002,10.375,109.80000000000001,92.29999999999998,26.0,2002,04,297.40134,296.37766,94.73534,17.977333,59
2002-05,399770,32.338461538461544,21.646153846153847,26.98461538461538,10.692307692307692,26.0,109.80000000000001,105.9,2002,05,297.05066,296.11,95.22516,17.654516,50
2002-06,399770,31.119999999999997,21.839999999999996,26.46,9.28,105.9,26.0,23.1,2002,06,296.246,293.69366,87.35267,15.312667,27
2002-07,399770,32.02222222222222,21.077777777777776,26.555555555555557,10.944444444444443,23.1,105.9,44.4,2002,07,296.4455,293.4861,85.53774,14.982258,29
2002-08,399770,33.12857142857143,22.057142857142857,27.571428571428573,11.071428571428571,44.4,23.1,35.3,2002,08,297.84225,293.03452,77.0829,14.635806,27
2002-09,399770,34.85555555555556,22.055555555555557,28.444444444444443,12.8,35.3,44.4,241.8,2002,09,299.55466,293.46268,72.976,15.153,65
2002-10,399770,33.67,22.440000000000005,28.05,11.23,241.8,35.3,189.40000000000003,2002,10,298.22226,295.93323,88.66871,17.541935,121
2002-11,399770,32.980000000000004,23.029999999999994,28.009999999999998,9.95,189.40000000000003,241.8,51.3,2002,11,297.67267,296.521,94.15,18.139334,82
2002-12,399770,32.77333333333334,23.240000000000002,28.0,9.533333333333335,51.3,189.40000000000003,212.7,2002,12,297.6871,296.49323,93.87742,18.104193,99
2003-01,405988,33.83333333333333,23.266666666666666,28.566666666666666,10.566666666666666,212.7,51.3,61.2,2003,01,298.08582,295.46838,87.36355,17.037743,24
2003-02,405988,31.82,23.119999999999997,27.48,8.7,61.2,212.7,5.0,2003,02,297.9043,295.9018,90.28714,17.470358,12
2003-03,405988,33.60909090909091,23.118181818181817,28.354545454545452,10.49090909090909,5.0,61.2,195.2,2003,03,297.74582,296.47903,93.839035,18.099031,11
2003-04,405988,32.443749999999994,23.293749999999996,27.8625,9.15,195.2,5.0,103.90000000000002,2003,04,297.36032,296.51166,95.642,18.119667,1
2003-05,405988,31.993333333333336,23.280000000000005,27.633333333333333,8.713333333333335,103.90000000000002,195.2,328.8,2003,05,296.20065,295.3587,95.84516,16.866451,4
2003-06,405988,32.05384615384615,22.469230769230766,27.24615384615384,9.584615384615386,328.8,103.90000000000002,155.2,2003,06,295.919,294.79767,94.247,16.297,15
2003-07,405988,32.36666666666667,21.880000000000003,27.133333333333326,10.486666666666666,155.2,328.8,145.2,2003,07,296.78128,293.23386,83.02839,14.805806,11
2003-08,405988,33.05,21.880000000000003,27.47,11.17,145.2,155.2,73.7,2003,08,297.53644,293.42322,80.49709,15.0170965,0
2003-09,405988,33.99166666666667,22.266666666666666,28.125,11.725,73.7,145.2,118.60000000000001,2003,09,298.29034,294.65735,82.93533,16.249,5
2003-10,405988,33.09166666666667,22.89166666666667,27.966666666666665,10.200000000000001,118.60000000000001,73.7,108.80000000000001,2003,10,298.8071,295.97,86.492256,17.587097,7
2003-11,405988,33.42727272727273,23.054545454545455,28.263636363636362,10.372727272727273,108.80000000000001,118.60000000000001,291.6,2003,11,298.49133,296.22968,89.143,17.896334,9
2003-12,405988,32.91,22.87,27.890000000000004,10.040000000000001,291.6,108.80000000000001,136.8,2003,12,298.18195,296.45355,91.80129,18.084839,15
2004-01,412095,34.46153846153846,22.830769230769228,28.646153846153844,11.63076923076923,136.8,291.6,56.1,2004,01,299.21194,295.14066,81.619354,16.787096,24
2004-02,412095,32.824999999999996,22.891666666666666,27.866666666666664,9.933333333333332,56.1,136.8,111.9,2004,02,298.10275,295.95206,89.48103,17.531034,13
2004-03,412095,33.13,23.45,28.28,9.68,111.9,56.1,49.0,2004,03,297.3503,296.57645,95.97549,18.195807,10
2004-04,412095,32.518181818181816,22.763636363636365,27.636363636363637,9.754545454545454,49.0,111.9,42.4,2004,04,297.72568,296.841,95.478,18.488667,26
2004-05,412095,31.416666666666668,22.933333333333334,27.183333333333334,8.483333333333333,42.4,49.0,296.2,2004,05,297.1158,295.7716,93.407745,17.321936,24
2004-06,412095,30.2,21.545454545454547,25.85454545454546,8.654545454545454,296.2,42.4,188.4,2004,06,295.962,294.69034,93.43967,16.138332,27
2004-07,412095,31.925,21.575000000000003,26.75,10.350000000000001,188.4,296.2,6.1,2004,07,296.86322,294.4529,88.437744,15.941936,38
2004-08,412095,32.0,22.2,27.1,9.8,6.1,188.4,62.0,2004,08,297.56644,293.7629,81.73419,15.304839,23
2004-09,412095,32.955555555555556,22.211111111111112,27.58888888888889,10.744444444444447,62.0,6.1,32.5,2004,09,298.36966,295.58932,86.442665,17.143667,54
2004-10,412095,33.388888888888886,22.266666666666666,27.82222222222222,11.122222222222222,32.5,62.0,5.3,2004,10,298.76096,296.12903,87.55516,17.741936,51
2004-11,412095,33.14444444444444,22.733333333333334,27.955555555555556,10.411111111111111,5.3,32.5,212.9,2004,11,298.38068,296.55,91.24267,18.216,110
2004-12,412095,33.08,23.31,28.2,9.77,212.9,5.3,169.20000000000002,2004,12,298.49872,296.5813,90.66968,18.245806,238
2005-01,418168,34.19166666666666,23.14166666666667,28.65833333333333,11.049999999999999,169.20000000000002,212.9,230.8,2005,01,299.03098,296.81128,89.34387,18.511612,39
2005-02,418168,32.733333333333334,23.277777777777782,28.000000000000004,9.455555555555556,230.8,169.20000000000002,178.29999999999998,2005,02,297.80856,296.70142,94.42607,18.363928,32
2005-03,418168,32.733333333333334,23.183333333333334,27.958333333333332,9.549999999999999,178.29999999999998,230.8,124.29999999999998,2005,03,297.73547,296.3771,93.19549,17.974838,37
2005-04,418168,32.3625,23.25,27.799999999999997,9.112499999999999,124.29999999999998,178.29999999999998,62.8,2005,04,297.63034,296.993,96.57467,18.675333,47
2005-05,418168,33.04,22.42,27.74,10.620000000000001,62.8,124.29999999999998,17.8,2005,05,298.33194,296.09644,89.01516,17.678387,29
2005-06,418168,31.854545454545452,22.60909090909091,27.218181818181815,9.245454545454546,17.8,62.8,272.6,2005,06,297.28635,295.16034,89.47366,16.667667,17
2005-07,418168,32.06666666666667,21.244444444444444,26.644444444444446,10.822222222222223,272.6,17.8,209.5,2005,07,297.57193,292.9213,78.23903,14.541613,26
2005-08,418168,32.62,21.2,26.919999999999998,11.42,209.5,272.6,32.5,2005,08,298.86646,293.62775,75.53839,15.202258,14
2005-09,418168,32.3,19.15,25.700000000000003,13.15,32.5,209.5,56.9,2005,09,299.51868,294.182,75.178,15.723667,0
2005-10,418168,33.824999999999996,22.737499999999997,28.275,11.0875,56.9,32.5,209.3,2005,10,299.19226,295.54095,82.4529,17.154194,16
2005-11,418168,33.4,22.6,27.975,10.8,209.3,56.9,20.0,2005,11,299.04666,296.723,88.80867,18.418333,28
2005-12,418168,33.3,22.724999999999998,28.0,10.575,20.0,209.3,125.30000000000001,2005,12,297.98065,296.14355,91.298065,17.820322,26
2006-01,424247,32.857142857142854,22.44285714285714,27.642857142857142,10.414285714285713,125.30000000000001,20.0,213.0,2006,01,298.03195,296.07,90.61065,17.720968,92
2006-02,424247,32.58,22.880000000000003,27.72,9.7,213.0,125.30000000000001,7.3999999999999995,2006,02,297.97144,296.27142,91.62643,17.898928,111
2006-03,424247,33.14,23.18,28.160000000000004,9.959999999999999,7.3999999999999995,213.0,51.8,2006,03,297.77356,296.63257,94.27742,18.259356,55
2006-04,424247,31.775000000000002,22.925,27.325,8.85,51.8,7.3999999999999995,163.0,2006,04,297.68268,296.207,92.61467,17.823334,48
2006-05,424247,30.8625,21.9625,26.412499999999998,8.899999999999999,163.0,51.8,214.29999999999998,2006,05,296.55356,293.7342,86.49742,15.394516,26
2006-06,424247,31.766666666666666,21.8,26.76666666666667,9.966666666666667,214.29999999999998,163.0,63.0,2006,06,297.00433,294.45035,87.59267,15.951667,9
2006-07,424247,32.02222222222222,21.766666666666666,26.9,10.255555555555556,63.0,214.29999999999998,41.1,2006,07,297.3884,293.97644,83.65581,15.519355,10
2006-08,424247,32.653333333333336,21.86666666666667,27.25333333333333,10.786666666666665,41.1,63.0,259.1,2006,08,298.26385,294.71,82.9729,16.242903,10
2006-09,424247,34.0,21.95,27.974999999999998,12.05,259.1,41.1,15.5,2006,09,299.142,294.30966,77.85433,15.8689995,11
2006-10,424247,33.371428571428574,22.87857142857143,28.135714285714283,10.492857142857144,15.5,259.1,206.79999999999998,2006,10,299.53644,297.03354,87.65516,18.76387,25
2006-11,424247,32.25714285714286,23.12857142857143,27.685714285714287,9.128571428571428,206.79999999999998,15.5,93.7,2006,11,298.48932,297.04468,92.865,18.774,31
2006-12,424247,32.266666666666666,22.8,27.533333333333335,9.466666666666667,93.7,206.79999999999998,213.0,2006,12,297.96484,296.9268,94.853546,18.598387,8
